डॉ. भीमराव अंबेडकर का जन्म किस तिथि को हुआ था?,14 अप्रैल 1891,15 अगस्त 1905,26 जनवरी 1910,2 अक्टूबर 1920,a
अंबेडकर को उच्च शिक्षा के लिए किस देश भेजा गया था?,अमेरिका,इंग्लैंड,फ्रांस,जर्मनी,a
'जाति का उच्छेद' किसका प्रसिद्ध भाषण है?,महात्मा गांधी,सुभाष चंद्र बोस,भीमराव अंबेडकर,राजेंद्र प्रसाद,c
भीमराव अंबेडकर को भारतीय संविधान सभा में क्या भूमिका मिली?,संविधान के निर्माता,प्रधानमंत्री,राष्ट्रपति,सामाजिक कार्यकर्ता,a
डॉ. अंबेडकर किस धर्म के अनुयायी बने थे?,बौद्ध धर्म,जैन धर्म,सिख धर्म,इस्लाम,a
भारत के संविधान के निर्माण में प्रमुख योगदान किसका था?,जवाहरलाल नेहरू,महात्मा गांधी,सरदार पटेल,भीमराव अंबेडकर,d
अंबेडकर ने किस पुस्तक में जातिवाद की कड़ी आलोचना की?,एनीहिलेशन ऑफ कास्ट,हिंद स्वराज,गीता रहस्य,भारत एक खोज,a
14 अप्रैल को किस महापुरुष का जन्मदिन मनाया जाता है?,लाल बहादुर शास्त्री,भीमराव अंबेडकर,जवाहरलाल नेहरू,सुभाष चंद्र बोस,b
किस ग्रंथ में डॉ. अंबेडकर ने बौद्ध धर्म पर प्रकाश डाला?,बुद्ध और उनका धम्म,गीता रहस्य,कुरान,रामायण,a
अंबेडकर की प्रारंभिक शिक्षा किस राज्य में हुई?,महाराष्ट्र,गुजरात,उत्तर प्रदेश,राजस्थान,a
डॉ. अंबेडकर किस वर्ग के अधिकारों के लिए संघर्षरत थे?,दलित,ब्राह्मण,राजपूत,वैश्य,a
डॉ. अंबेडकर ने संविधान निर्माण के दौरान किस सिद्धांत को बढ़ावा दिया?,समानता,अहिंसा,धर्मनिरपेक्षता,सत्याग्रह,a
भीमराव अंबेडकर की प्रमुख शिक्षा क्या थी?,समानता और न्याय,धर्म और आध्यात्म,राष्ट्रीय एकता,अहिंसा और सत्य,a
